,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
62,62,Slovakia,"113,392","+2,184",957 ,+27,"77,142","+2,869","35,293",246,"20,765",175
63,63,Greece,"113,185","+1,648","2,804 ",+98,"9,989",,"100,392",612,"10,882",270
64,64,Ethiopia,"112,091",+512,"1,734 ",+10,"78,619","+1,234","31,738",317,965,15
65,65,Honduras,"109,760",+616,"2,938 ",+8,"48,953",+76,"57,869",121,"11,008",295
66,66,Venezuela,"103,548",,909 ,,"98,521",,"4,118",117,"3,646",32
67,67,Tunisia,"101,900","+1,217","3,481 ",+66,"75,464",+951,"22,955",299,"8,584",293
68,68,Myanmar,"96,520","+1,502","2,059 ",+31,"74,973","+1,225","19,488",,"1,769",38
69,69,Palestine,"94,676","+1,968",797 ,+17,"70,206","+1,956","23,673",71,"18,380",155
70,70,Bosnia and Herzegovina,"92,793","+1,254","2,865 ",+53,"57,545","+1,495","32,383",,"28,359",876
71,71,Bahrain,"87,600",+168,341 ,,"85,710",+112,"1,549",12,"50,753",198
72,72,Kenya,"87,249",+866,"1,506 ",+6,"68,110",+322,"17,633",77,"1,608",28
73,73,Denmark,"86,743","+1,603",867 ,+9,"68,632","+1,216","17,244",40,"14,953",149
74,74,Algeria,"86,730",+803,"2,492 ",+12,"56,079",+541,"28,159",46,"1,963",56
75,75,Libya,"85,529",+680,"1,219 ",+7,"56,048",+744,"28,262",,"12,376",176
76,76,Paraguay,"85,477",,"1,796 ",,"60,086",,"23,595",145,"11,922",251
77,77,Slovenia,"83,133","+1,784","1,653 ",+61,"60,957","+1,488","20,523",199,"39,986",795
78,78,Kyrgyzstan,"74,373",+440,"1,285 ",+4,"66,113",+524,"6,975",133,"11,321",196
79,79,Uzbekistan,"73,592",+161,611 ,,"70,861",+149,"2,120",174,"2,185",18
80,80,Ireland,"73,491",+263,"2,086 ",+6,"23,364",,"48,041",29,"14,813",420
81,81,Malaysia,"70,236","+1,141",376 ,,"59,061","+1,144","10,799",129,"2,158",12
82,82,Lithuania,"69,582","+2,518",590 ,+26,"27,760",+924,"41,232",132,"25,715",218
83,83,Nigeria,"68,303",,"1,179 ",,"64,291",,"2,833",10,328,6
84,84,North Macedonia,"66,330","+1,099","1,877 ",+30,"42,241",+585,"22,212",138,"31,838",901
85,85,Singapore,"58,242",+3,29 ,,"58,152",+7,61,,"9,922",5
86,86,Ghana,"52,096",+429,325 ,+2,"50,924",+377,847,19,"1,662",10
87,87,Afghanistan,"47,388",+130,"1,847 ",+6,"37,347",+45,"8,194",93,"1,206",47
88,88,Albania,"41,302",+801,870 ,+18,"20,974",+490,"19,458",27,"14,359",302
89,89,El Salvador,"39,718",+203,"1,142 ",+8,"36,286",+201,"2,290",48,"6,110",176
90,90,Montenegro,"37,467",+535,522 ,+6,"26,414",+548,"10,531",68,"59,651",831
91,91,Norway,"37,371",,354 ,+1,"27,414",,"9,603",38,"6,871",65
92,92,Luxembourg,"37,017",+588,345 ,+6,"28,029",+673,"8,643",41,"58,732",547
93,93,S. Korea,"36,332",+629,536 ,+7,"28,611",+259,"7,185",116,708,10
94,94,Australia,"27,949",+10,908 ,,"25,629",+11,"1,412",,"1,091",35
95,95,Finland,"26,758",+336,408 ,,"18,100",,"8,250",21,"4,826",74
96,96,Sri Lanka,"26,559",+521,129 ,,"19,438",+406,"6,992",,"1,238",6
97,97,Cameroon,"24,560",+73,441 ,,"23,344","+1,167",775,52,916,16
98,98,Uganda,"21,898",+286,206 ,,"9,117",+7,"12,575",,473,4
99,99,Ivory Coast,"21,412",+23,132 ,,"21,054",+32,226,,803,5
100,100,Latvia,"19,993",+686,242 ,+7,"1,849",+1,"17,902",46,"10,650",129
101,101,Sudan,"18,535",,"1,271 ",,"10,672",,"6,592",,419,29
102,102,Zambia,"17,857",+127,364 ,+7,"17,145",+43,348,,960,20
103,103,Madagascar,"17,513",,255 ,,"16,657",,601,16,626,9
104,104,Senegal,"16,297",+80,336 ,+1,"15,707",+10,254,7,963,20
105,105,Mozambique,"16,038",+120,133 ,+1,"14,160",+130,"1,745",,507,4
106,106,Angola,"15,493",+132,353 ,+1,"8,299",+55,"6,841",14,465,11
107,107,French Polynesia,"15,107",+210,79 ,+1,"4,842",,"10,186",25,"53,647",281
108,108,Namibia,"14,599",,151 ,,"13,774",,674,8,"5,702",59
109,109,Estonia,"13,939",+470,125 ,+2,"8,549",+367,"5,265",17,"10,505",94
110,110,DRC,"13,281",+149,337 ,,"11,753",,"1,191",,146,4
111,111,Guinea,"13,186",+19,76 ,,"12,270",+66,840,24,993,6
112,112,Maldives,"13,143",+37,47 ,,"12,199",+45,897,12,"24,136",86
113,113,Tajikistan,"12,349",+41,87 ,,"11,758",+40,504,,"1,283",9
114,114,Botswana,"11,531",,34 ,,"8,978",,"2,519",1,"4,862",14
115,115,Cyprus,"11,523",,54 ,,"2,057",,"9,412",15,"9,515",45
116,116,French Guiana,"11,334",+16,71 ,+1,"9,995",,"1,268",1,"37,541",235
117,117,Cabo Verde,"10,996",+58,108 ,+1,"10,496",+42,392,23,"19,687",193
118,118,Jamaica,"10,987",+76,260 ,+1,"6,730",+116,"3,997",10,"3,703",88
119,119,Zimbabwe,"10,424",,280 ,,"8,754",,"1,390",,697,19
120,120,Malta,"10,320",+123,149 ,+1,"8,120",+105,"2,051",18,"23,346",337
121,121,Haiti,"9,331",,233 ,,"8,114",,984,,814,20
122,122,Gabon,"9,254",+15,60 ,,"9,106",+17,88,6,"4,117",27
123,123,Mauritania,"9,181",+176,182 ,+1,"7,812",+27,"1,187",30,"1,953",39
124,124,Cuba,"8,610",+79,136 ,,"7,858",+88,616,4,760,12
125,125,Guadeloupe,"8,427",,149 ,,"2,242",,"6,036",7,"21,059",372
126,126,Syria,"8,233",+86,437 ,+5,"3,811",+63,"3,985",,466,25
127,127,Réunion,"8,200",+98,41 ,+1,"7,729",+557,430,17,"9,131",46
128,128,Bahamas,"7,549",,163 ,,"5,934",,"1,452",,"19,119",413
129,129,Belize,"7,236",,164 ,,"3,571",,"3,501",3,"18,060",409
130,130,Andorra,"6,955",+51,77 ,,"6,130",+64,748,20,"89,953",996
131,131,Trinidad and Tobago,"6,735",+10,121 ,,"5,884",+23,730,38,"4,806",86
132,132,Hong Kong,"6,702",+112,112 ,+1,"5,465",+42,"1,125",23,891,15
133,133,Eswatini,"6,480",+6,122 ,,"6,066",+22,292,11,"5,561",105
134,134,Uruguay,"6,455",,80 ,,"4,707",,"1,668",23,"1,855",23
135,135,Malawi,"6,047",+4,185 ,,"5,472",,390,4,313,10
136,136,Rwanda,"6,043",+32,51 ,+1,"5,672",+76,320,,462,4
137,137,Nicaragua,"5,838",,161 ,,"4,225",,"1,452",,877,24
138,138,Congo,"5,774",,94 ,,"4,988",,692,,"1,036",17
139,139,Djibouti,"5,690",+1,61 ,,"5,592",+1,37,,"5,724",61
140,140,Guyana,"5,601",+73,151 ,,"4,695",+77,755,5,"7,106",192
141,141,Martinique,"5,520",,41 ,,98,,"5,381",9,"14,714",109
142,142,Iceland,"5,462",+14,27 ,,"5,223",+7,212,2,"15,962",79
143,143,Suriname,"5,322",,117 ,,"5,203",,2,2,"9,038",199
144,144,Mayotte,"5,181",,49 ,,"2,964",,"2,168",4,"18,801",178
145,145,Equatorial Guinea,"5,159",,85 ,,"5,023",,51,,"3,628",60
146,146,Mali,"4,938",+58,163 ,+1,"3,307",+26,"1,468",,241,8
147,147,Aruba,"4,923",,45 ,,"4,733",,145,4,"46,027",421
148,148,CAR,"4,918",,63 ,,"1,924",,"2,931",2,"1,011",13
149,149,Somalia,"4,525",,121 ,,"3,480",,924,,281,8
150,150,Thailand,"4,053",+14,60 ,,"3,839",+7,154,1,58,0.9
151,151,Gambia,"3,767",,123 ,,"3,610",,34,2,"1,541",50
152,152,South Sudan,"3,154",,62 ,,"2,977",,115,,280,6
153,153,Burkina Faso,"3,091",+29,68 ,,"2,687",+8,336,,146,3
154,154,Benin,"3,055",,44 ,,"2,907",,104,,249,4
155,155,Togo,"3,039",,65 ,,"2,567",,407,,364,8
156,156,Curaçao,"2,740",,7 ,,"1,245",,"1,488",12,"16,669",43
157,157,Guinea-Bissau,"2,441",,44 ,,"2,327",,70,5,"1,228",22
158,158,Sierra Leone,"2,420",+4,74 ,,"1,842",+2,504,,301,9
159,159,Yemen,"2,267",+28,627 ,+3,"1,534",+9,106,4,75,21
160,160,Lesotho,"2,150",+5,44 ,,"1,278",,828,,"1,000",20
161,161,New Zealand,"2,069",,25 ,,"1,983",+9,61,,414,5
162,162,San Marino,"1,756",+42,47 ,+1,"1,381",+25,328,8,"51,706","1,384"
163,163,Chad,"1,719",+11,102 ,,"1,555",+16,62,,103,6
164,164,Niger,"1,682",+42,76 ,,"1,231",+4,375,9,68,3
165,165,Liberia,"1,676",+13,83 ,,"1,358",,235,2,328,16
166,166,Channel Islands,"1,526",+68,48 ,,"1,012",,466,10,"8,743",275
167,167,Vietnam,"1,361",,35 ,,"1,220",+11,106,,14,0.4
168,168,Liechtenstein,"1,351",+12,17 ,,"1,183",+14,151,16,"35,390",445
169,169,Sint Maarten,"1,105",+13,25 ,,993,+17,87,6,"25,649",580
170,170,Gibraltar,"1,042",+4,5 ,,969,+9,68,,"30,932",148
171,171,Sao Tome and Principe,999,+2,17 ,,937,,45,,"4,523",77
172,172,Mongolia,831,+12, ,,365,,466,3,252,
173,173,Turks and Caicos,751,,6 ,,733,,12,1,"19,287",154
174,174,Saint Martin,717,,12 ,,641,,64,7,"18,412",308
175,176,Burundi,692,,1 ,,575,,116,,57,0.08
176,177,Taiwan,690,+4,7 ,,572,,111,,29,0.3
177,178,Papua New Guinea,671,+2,7 ,,597,,67,,74,0.8
178,179,Eritrea,632,+38, ,,508,+10,124,,177,
179,180,Monaco,630,,3 ,,571,+1,56,4,"16,006",76
180,181,Comoros,615,,7 ,,590,,18,,701,8
181,182,Tanzania,509,,21 ,,183,,305,7,8,0.3
182,183,Mauritius,508,,10 ,,465,,33,,399,8
183,184,Faeroe Islands,505,, ,,500,,5,,"10,318",
184,185,Bhutan,418,+3, ,,386,,32,,539,
